Body,Department,Priority,Tags
Kindly assist my SharePoint mailbox is not syncing after the Office 365 update,Technical Support,Critical,server access
Good morning i would like to compare your analytics tool against competitors,Sales and Pre-Sales,High,product demo
Reporting an issue the docking station I ordered arrived damaged and I need a replacement,Returns and Exchanges,Medium,return refund
Hello requesting clarification on my remaining unpaid leave balance,Human Resources,Low,payroll salary
Requesting assistance please process a return label for the scanner I purchased,Returns and Exchanges,Medium,store credit
Hi team we need a scalable security solution solution for one hundred users,Sales and Pre-Sales,Low,sales inquiry
Please help i cannot log into Office 365 using multi-factor authentication,Technical Support,High,authentication error
Following up requesting installation of the internal portal on my work monitor,Technical Support,Low,active directory
Following up can you explain the difference between your subscription tiers,Sales and Pre-Sales,Medium,subscription renewal
Following up the returned printer was received but no refund was issued,Returns and Exchanges,Medium,return refund
Hi team we need a scalable security solution solution for fifteen users,Sales and Pre-Sales,Medium,subscription renewal
Need support please confirm the status of my paternity leave application,Human Resources,Medium,tax document
Following up i cannot log into the intranet using multi-factor authentication,Technical Support,Medium,authentication error
Hello can your team provide a customized quote for cloud platform,Sales and Pre-Sales,Low,license upgrade
Kindly assist we are evaluating your backup solution for our organization,Sales and Pre-Sales,Low,license upgrade
Urgent unable to access the file server due to an authentication error,Technical Support,High,outlook email
Quick question my Teams mailbox is not syncing after the driver update,Technical Support,Critical,printer issue
FYI the laptop stopped working within days of delivery,Returns and Exchanges,Medium,return refund
Urgent i would like to request my tax form for a loan application,Human Resources,Low,hr portal
Hello requesting a copy of the invoice for our accounting records,Billing and Payments,Low,invoice payment
Can you provide pricing details for the monitoring platform package,Sales and Pre-Sales,High,product demo
Good morning my corporate card was declined when paying the invoice,Billing and Payments,Medium,subscription charge
Hi team the personal information change I submitted has not reflected in the system,Human Resources,Low,leave request
Urgent please correct the late fee listed on my recent invoice,Billing and Payments,Low,statement billing
Urgent my office PC cannot detect the network switch anymore,Technical Support,Critical,active directory
Urgent we are evaluating your collaboration suite for our organization,Sales and Pre-Sales,Low,subscription renewal
Reporting an issue my monitor cannot detect the monitor anymore,Technical Support,High,server access
Following up my account is locked out of the employee portal after multiple attempts,Technical Support,High,server access
Hello how do I exchange the keyboard for the correct specification,Returns and Exchanges,Medium,wrong item
Good morning please help me understand the wellness program claim process,Human Resources,Low,leave request
Hello my childcare benefit deduction seems higher than expected this month,Human Resources,Medium,employee benefits
For your attention requesting an exchange for the mouse due to it being missing components,Returns and Exchanges,Medium,shipping damage
